,title,content,date
0,아이폰13 애플페이 지원 무산 확정,"ㅎ 스펙 자체는 나쁘지 않겠지만 솔직히 지문인식도, 아이폰13 애플페이도 지원하지 않으면 그냥 기존의 아이폰12를 사용하는 게 더 낫지 않나 싶어요 아이폰12 상위 모델도 충분히 스펙 좋고요 ... 그래도 여러분들...",6일 전
1,아이폰13 출시일 스펙 정리,올 가을 애플의 아이폰13 시리즈가 신제품 공개행사를 통해 전격 공개될 예정인데요 공개일이 한층 다가오면서 출시일과 스펙에 대한 정보가 관련 매체와 외신을 통해 속속히 공개되고 있어요 아이폰13 시리즈의...,5일 전
2,아이폰13 스펙 및 기능 미리보기!,"스크린샷에 따르면 아이폰13 시리즈는 모두 9월 말에 출시가 되며, 아이폰과 함께 출시가 되는 에어팟3는 9월 30일에 출시가 된다고 한다. 특히 지금 공개된 정보에 따르면 아이폰13에는 1TB의 모델이 출시될 것이라는...",2일 전
3,아이폰13 출시일 이제 곧이네요. 바꿔야 하나?,서양에선 13을 기피하는 문화가 있습니다. 그래서 처음 루머가 떠돌기 시작했을 때부터 아이폰13이 아닌 '아이폰12s'가 될 거란 말이 많았는데 저는 대단히 신빙성 있는 루머라고 봅니다만 그래도 뚜껑을 따봐야 알 수...,6일 전
4,"이제는 아이폰13 사전예약, 최근 소식까지!",이유가 무엇이든 간에 모바일 시장에 때아닌 호황이 찾아온 만큼 바로 다음 타자인 아이폰 13에도 이런... 또한 아이폰 12에서는 한국도 1.5차 출시국에 포함되어 평소보다 매우 빠르게 진행된 이력이 있긴 하지만 그 역시...,4일 전
5,"아이폰 13 미니 출시일과 가격, 이번에는 어떤 색상을 고를까?","올해 삼성의 폴더블폰의 여파가 컸는지 아이폰 13 미니 출시일이 비슷한데도 불구하고 상대적으로 묻히는... 정식 네이밍이 iPhone 12s와 iPhone 13 둘 중 무엇인지에 대해서도 서양 사람들이 기피하는 숫자네, iOS 13이라는...",2021.08.22.
6,"아이폰 13 출시일 9월 O일, 핵심 포인트 짚어보기","아쉽게도 아이폰 13부터 디스플레이 터치 ID를 만나긴 어려울 것 같습니다. 블룸버그에 따르면, 디스플레이 내 터치 ID는 아이폰 14에 탑재될 예정이다,라는 거죠. 물론 아쉽긴 하지만, 차라리 그전에 마스크를 벗어...",3일 전
7,아이폰13 출시일 사전예약 바꿀만한폰일까?,"LCD에서 OLED 디스플레이로 변화한 아이폰X와 같은 큰 변화가 없다면 지금껏 많은 모델을 보아온 바, 아이폰12 다음은 역시 13이 아닌 아이폰12s 시리즈가 나올 가능성이 다분하다. 아이폰13 출시일 사전예약 과연...",3일 전
8,아이폰SE2와 아이폰12미니 비교! 아이폰13미니 보다 매력적인 아이폰12미니 가격,올해 하반기 출시예정인 아이폰13 시리즈에는 '아이폰13미니(iPhone 13 mini)'가 포함될 것으로 예상된다. 아이폰13미니 출시를 앞두고 아이폰12미니를 구입해도 될까?비슷한 시기에 출시한 아이폰SE2와 아이폰12미니...,2021.08.10.
9,아이폰13 이번엔 어떻게 나올까? 루머 정리 및 사전예약 정보.,9월에는 아이폰의 새로운 시리즈가 발표될 예정인데요. 사진 출처 : 맥루머스 출시 전에 알려진 아이폰13... 입장에서 아이폰의 라이트닝 케이블은 불편할 때가 많았습니다. 이번 13에서는 USB-C가 되나? 기대하고...,2021.08.14.
10,아이폰13 출시일 9월? 어떤 스펙으로 나올까..,iPhone12 에 13 케이스를 장착한 모습 단순히 두께만 두꺼워진 것이 아닌 카메라의 크기도 더욱 커졌습니다. 이러니 카메라 화질과 성능에 대해서 큰 기대를 해도 될 것 같습니다. 아이폰13 스펙 중 가장 눈에 띄는 부분은...,2021.08.01.
11,아이폰13 사전예약 성지카페 혜택은,가격대는 아이폰13 pro 256가격은 저번작 아이폰12 pro와 가격대가 비슷할거라고 예상을 하고 있습니다 디자인은 아이폰12 시리즈랑 상당이 흡사한 모습을 보여줄것이라고 예상을 하고 있습니다 저번작 아이폰12...,3시간 전
12,아이폰13 출시일 임박! 미리 살펴보자!,"아이폰을 사용하기 전에는 애플 제품들은 감성 값이라 이야기하기도 했던 제가 이제는 맥북 에어, 에어팟... 출처: MacRumors 그래서 저는 2021년 아이폰13 출시일을 오매불망 기다렸습니다. iPhone13은 전작보다 더...",2일 전
13,아이폰 13 출시일 정보 중 눈에 띄는 지문인식 패드 탑재 과연.,"네이밍 정리 아이폰 13, mini, Pro, Pro Max 필자는 앞선 리뷰에서 아이폰의 시리즈에서 제외됐던 9, 10 시리즈를 근거로 13 시리즈 또한 네이밍에서 제외될 것이라고 예측했지만 현재까지 알려진 정보에 의하면 그대로...",5일 전
14,아이폰13 사전예약 국내 출시일,"하지만, 2020년에 11s가 아닌 12로 출시가 되면서, 12s가 아닌 13으로 출시될 것이라는 의견에 더욱 힘이 쏠리고 있습니다. 아이폰13 시리즈는 전작 아이폰12와 동일하게 아이폰13, mini, Pro, Pro max 라인업으로 발표될...",23시간 전
15,아이폰 13 8월 첫째 주 최신 소식 프로 맥스보다 더 커진다?,"우선, 최신 바이오닉 A15 프로세서를 탑재할 예정인 iPhone13의 바디 프레임이 당초 예정보다 훨씬 더 커질... 물론, 전체 라인업의 모든 아이폰 크기가 커진다는 것은 아니고, 최 상위 기종은 아이폰 13 프로 맥스에 국한된...",2021.08.07.
16,아이폰13 pro 디자인 스펙 출시일 프로 맥스 시리즈 가격 인상 소식,오늘은 아이폰13 pro와 프로 맥스 시리즈의 출시일 전 스펙 디자인 그리고 상승이 된다는 가격에 대한... 모든 13 시리즈에 센서 시프트 방식의 손떨림 방지 기능이 제공이 되고 새로운 필터 기능이 포함이 됩니다. 또한...,3일 전
17,"9월 출시 아이폰13, 이전과 뭐가 달라지나?","신상 아이폰 13은 전작 아이폰 12 요소를 업그레이드한 버전, 전체적인 외관과 디스플레이는 유사할 것으로 예상됩니다. 9월 출시를 앞두고 있는 아이폰 13! IT 전문매체와 외신에서 공통적으로 예측하는 특징, 이전과...",4일 전
18,"아이폰13 가격 색상 스펙 정리, 9월에 만나요","이제 곧 만나는 아이폰13 가격 색상 스펙 정리 나도 이번에 바꿀 타이밍이라 지켜보고 있다, 지금 사용하고 있는 아이폰X는 이제 놔줘야 할 때가 되었다. 사용하는 앱 속도가 느려지거나 사용하면서 버벅 거리는...",4일 전
19,아이폰13 출시일 및 예정 스펙 디자인 기대되네,여전히 판매량이 높은 12 시리즈 아이폰13 출시일 관련해서는 9월 중순 공개 이벤트를 시작과 동시에... 아이폰13 디자인은 전작에서 호평받았던 각진 형태가 그대로 유지된다. 무엇보다 옆으로 길게 늘어져 콘텐츠...,2021.08.06.
20,아이폰13 pro 사전예약 가격 예상 스펙을 생각한다면,"아이폰을 쓰는데 디자인이 괜찮아서 플립으로 갈아타고 싶다는 유저도 보았고, 갤럭시만 쓰는데 이번... 곧 아이폰13 pro 등 새로운 시리즈가 나올 것이다. 벌써부터 새 13 시리즈를 기다리는 사람들도, 그동안 유출된...",2021.08.17.
21,"아이폰13 사전예약, 1순위로 빠르게 받는 법!",그러나 이것도 아이폰13 출시일이 되어봐야 정확히 알 수 있을 듯.. 또한 색상의 경우 아이폰 12미니나 일반 모델의 경우 다양한 색상이 출시되어 색상의 선택이 더 다양했던 것이 사실인데요. 아마도 이번에 아이폰13...,3일 전
22,아이폰13 사전예약 필수. 가격은?,"아이폰13 사전예약으로 구입하러는 분들이 상당히 많아지고 있는 추세이며, 지금부터 언팩을 기대하고 있는... 때는 아이폰이 앞지를 것이란 추축이 있다. 그럼 13에서는 어떻게 바뀌는지.... 과연 12시리즈를 사용하는...",2021.08.22.
23,아이폰13 사전예약 이번에 바뀌는점은?,"8월을 지나면서 점점 아이폰13 사전예약과 함께 특징에 대한 소식이 들려오고 있습니다. 기존 12가 역대급 판매가 된 만큼, 이번 13에서도 이러한 분위기를 이어가기 위해서, 많은 부분들이 업그레이드될 것으로...",2021.08.02.
24,아이폰13 pro 사전예약 가격 동결된다?,"또한 배터리 용량이 커질 것이라는 예상이 있는데요~ 아이폰13 미니의 배터리 용량은 2406mAh, 아이폰13과 아이폰13 프로는 최대 3095mAh, 아이폰13 프로맥스는 4352mAh로 전망하고 있습니다. 아이폰12 시리즈보다 약간 커진...",5일 전
25,"z플립3, 아이폰13 중 고민","(폰이 갤럭시인데....)그래서 지금 제 생태계 상황을 보면 아이폰이 좋을거 같긴한데 제가 살면서 아이폰을 써본적이 없고 아이폰13 한국 출시일도 10월 초 중반으로 예상되고, 또 애플워치가격도 가격이다 보니... 너무...",2021.08.20.
